[1014/012910:ERROR:ipc_channel_win.cc(482)] pipe error: 109
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1014/012937:WARNING:backend_impl.cc(1807)] Destroying invalid entry.
[1109/225330:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225335:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225340:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225345:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225350:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225355:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225400:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225405:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225410:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225415:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225420:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225425:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225430:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1109/225435:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1111/185150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[1111/185150:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
